Cleaned Skill,Skills from DB,count,Action taken,issues not handled by prompt,Comments,owner
antitrust law,antitrust law,,,,,
bas reporting,bas reporting,,,,,
buddhist psychology,buddhist psychology,,,,,
sql,crystal sql reporting,,converted invalid skill to valid,,,
ecclesiology,ecclesiology,,,,,
electrology,electrology,,Grouped,,,
enology,enology,,,,,
futurology,futurology,,,,,
ge technology infrastructure,ge technology infrastructure,,,,,
ge transition toolkit,ge transition toolkit,,,,,
gemology,gemology,,,,,
