Cleaned Skill,Skills from DB,count,Action taken,issues not handled by prompt,Comments,not found uuid
javascript,javascript,18614,grouped,basic is removed from group name,,232e82af-f382-48f7-8c24-feeb892d9dd6
javascript,javascript basics,18614,grouped,basic is removed from group name,,2c760c22-457e-11e9-a89e-70106fbef856
javascript,javascript frameworks,18614,grouped,basic is removed from group name,,190a04ee-457e-11e9-a89e-70106fbef856
javascript,javascript libraries,18614,grouped,basic is removed from group name,,1ab855ee-457e-11e9-a89e-70106fbef856
javascript,javascript library,18614,grouped,basic is removed from group name,,598cef42-5452-11e9-a89e-70106fbef856
javascript,javascripts,18614,grouped,basic is removed from group name,,1b29f14e-457e-11e9-a89e-70106fbef856
javascript,javscript,18614,grouped,basic is removed from group name,,1bf11834-457e-11e9-a89e-70106fbef856
javascript,advanced java script,18614,grouped,basic is removed from group name,,not found uuid
javascript,and javascript,18614,grouped,basic is removed from group name,,26a99224-457e-11e9-a89e-70106fbef856
javascript,java scrpt,18614,grouped,basic is removed from group name,,not found uuid
javascript,js programming,18614,grouped,basic is removed from group name,,not found uuid
javascript,basics of javascript,18614,grouped,basic is removed from group name,,25387a1f-457e-11e9-a89e-70106fbef856
javascript,core java script,18614,grouped,basic is removed from group name,,d60f7908-f33c-4f88-ae2d-42d96deca169
javascript,jacascript,18614,grouped,basic is removed from group name,,2ca0383d-457e-11e9-a89e-70106fbef856
javascript,java script,18614,grouped,basic is removed from group name,,1896361a-457e-11e9-a89e-70106fbef856
javascript,java scripting,18614,grouped,basic is removed from group name,,1c248fe3-457e-11e9-a89e-70106fbef856
javascript,java scripts,18614,grouped,basic is removed from group name,,1b62eb64-457e-11e9-a89e-70106fbef856
javascript,jvascript,18614,grouped,basic is removed from group name,,26d5c93a-457e-11e9-a89e-70106fbef856
javascript,basic javascript,18614,grouped,basic is removed from group name,,1cf4c568-457e-11e9-a89e-70106fbef856
java,adavance java,12547,grouped,should be undere java,,2755c0f1-457e-11e9-a89e-70106fbef856
java,advanced java,12547,grouped,should be undere java,,18999e4c-457e-11e9-a89e-70106fbef856
java,advance java,12547,grouped,should be undere java,,a548ec37-87cd-47fb-84ca-fa88c6ffb516
java,advjava,12547,grouped,should be undere java,,1d007b28-457e-11e9-a89e-70106fbef856
java,advancejava,12547,grouped,should be undere java,,1cf42e15-457e-11e9-a89e-70106fbef856
java,basic core java,12547,grouped,should be undere java,,1c9a39fc-457e-11e9-a89e-70106fbef856
java,basic java,12547,grouped,should be undere java,,18b75529-457e-11e9-a89e-70106fbef856
java,basics in java,12547,grouped,should be undere java,,1b6d1b32-457e-11e9-a89e-70106fbef856
java,basics java,12547,grouped,should be undere java,,1d072dfd-457e-11e9-a89e-70106fbef856
java,basic of java,12547,grouped,should be undere java,,1b5b6269-457e-11e9-a89e-70106fbef856
java,basics of java,12547,grouped,should be undere java,,18bd5cd6-457e-11e9-a89e-70106fbef856
java,c e java,12547,grouped,should be undere java,,dbe6e270-14cc-4e3c-8990-9f9ec98e2f10
java,certified in java,12547,grouped,should be undere java,,2c8f015c-457e-11e9-a89e-70106fbef856
java,cora java,12547,grouped,should be undere java,,263ed279-457e-11e9-a89e-70106fbef856
java,core java,12547,grouped,should be undere java,,8bd61b63-0b08-4059-9866-f5f6c5bf1dcf
java,core java 1,12547,grouped,should be undere java,,2627c114-457e-11e9-a89e-70106fbef856
java,core java basics,12547,grouped,should be undere java,,1d094ab9-457e-11e9-a89e-70106fbef856
java,core java programming,12547,grouped,should be undere java,,18996ae0-457e-11e9-a89e-70106fbef856
java,diploma in java,12547,grouped,should be undere java,,26f0398e-457e-11e9-a89e-70106fbef856
java,embedded java,12547,grouped,should be undere java,,591a4548-5452-11e9-a89e-70106fbef856
java,expert in java,12547,grouped,should be undere java,,2c96894a-457e-11e9-a89e-70106fbef856
java,good at java,12547,grouped,should be undere java,,1d846ca8-457e-11e9-a89e-70106fbef856
java,i know java,12547,grouped,should be undere java,,27336b21-457e-11e9-a89e-70106fbef856
java,j2,12547,grouped,should be undere java,,2ccd3852-457e-11e9-a89e-70106fbef856
java,java,12547,grouped,should be undere java,,8997ffdb-8967-49ed-8b2b-df6a17f05b48
java,java 1.8,12547,grouped,should be undere java,,327a2e56-74b5-487a-a948-4d5794876f47
java,java 6,12547,grouped,should be undere java,,25aef02c-457e-11e9-a89e-70106fbef856
java,java 7,12547,grouped,should be undere java,,25eb616e-457e-11e9-a89e-70106fbef856
java,java 8,12547,grouped,should be undere java,,1bec2b1d-457e-11e9-a89e-70106fbef856
java,java advance,12547,grouped,should be undere java,,1d7b8897-457e-11e9-a89e-70106fbef856
java,java advanced,12547,grouped,should be undere java,,26c7be69-457e-11e9-a89e-70106fbef856
java,java basic,12547,grouped,should be undere java,,1b44be20-457e-11e9-a89e-70106fbef856
